,All ages - Daily verified,,,All ages - Total serious,,,All ages - New serious,,,All ages - Total deaths,,,Above 60 - Daily verified,,,Above 60 - Total serious,,,Above 60 - New serious,,,Above 60 - Total deaths,,,Below 60 - Daily verified,,,Below 60 - Total serious,,,Below 60 - New serious,,,Below 60 - Total deaths,,
2021-02-10T00:00:00.000Z,110,0,4716,54,0,744,10,0,109,5,0,12,57,0,214,49,0,431,10,0,59,5,0,10,53,0,4465,5,0,310,0,0,50,0,0,2
2021-02-11T00:00:00.000Z,98,0,4282,45,0,725,5,0,83,6,0,17,47,0,209,41,0,402,5,0,36,6,0,16,51,0,4049,4,0,321,0,0,46,0,0,1
2021-02-12T00:00:00.000Z,92,0,3873,43,0,698,6,0,63,8,0,21,40,0,181,39,0,391,6,0,42,8,0,17,52,0,3668,4,0,306,0,0,21,0,0,4
2021-02-13T00:00:00.000Z,29,0,1579,36,0,709,2,0,95,4,0,20,15,0,72,32,0,398,1,0,53,4,0,17,14,0,1496,4,0,310,1,0,42,0,0,3
2021-02-14T00:00:00.000Z,69,0,2828,45,0,732,12,0,97,1,0,23,34,0,127,41,0,405,12,0,51,1,0,19,34,0,2683,4,0,325,0,0,45,0,0,4
2021-02-15T00:00:00.000Z,100,0,4348,48,0,727,8,0,99,1,0,13,33,0,216,43,0,404,7,0,55,1,0,12,67,0,4108,5,0,321,1,0,44,0,0,1
2021-02-16T00:00:00.000Z,87,0,3782,43,0,697,4,0,73,5,0,26,44,0,167,39,0,378,4,0,37,5,0,22,43,0,3594,4,0,318,0,0,36,0,0,4
2021-02-17T00:00:00.000Z,100,0,3408,45,0,699,10,0,72,2,0,20,41,0,150,39,0,373,8,0,37,2,0,18,59,0,3220,6,0,325,2,0,35,0,0,2
2021-02-18T00:00:00.000Z,76,0,2742,42,0,662,4,0,61,4,0,19,36,0,112,36,0,351,4,0,31,4,0,18,40,0,2591,6,0,310,0,0,30,0,0,1
2021-02-19T00:00:00.000Z,75,0,3080,36,0,618,5,0,47,4,0,13,29,0,143,30,0,328,4,0,25,4,0,10,46,0,2917,6,0,289,1,0,22,0,0,3
2021-02-20T00:00:00.000Z,25,0,1014,35,0,619,5,0,54,2,0,16,14,0,48,28,0,313,4,0,16,2,0,12,11,0,960,7,0,305,1,0,38,0,0,4
2021-02-21T00:00:00.000Z,76,0,2442,35,0,614,5,0,66,3,0,17,23,0,131,29,0,307,4,0,33,2,0,15,53,0,2298,6,0,306,1,0,33,1,0,2
2021-02-22T00:00:00.000Z,111,0,3917,32,0,618,6,0,88,1,0,12,47,0,186,27,0,315,5,0,44,1,0,5,64,0,3696,5,0,302,1,0,44,0,0,7
2021-02-23T00:00:00.000Z,107,0,3519,35,0,600,6,0,77,3,0,25,37,0,167,30,0,305,5,0,37,2,0,22,70,0,3326,5,0,295,1,0,40,1,0,3
2021-02-24T00:00:00.000Z,111,0,3431,36,0,591,5,0,77,0,0,19,47,0,136,30,0,296,4,0,38,0,0,16,64,0,3265,6,0,295,1,0,39,0,0,3
2021-02-25T00:00:00.000Z,103,0,2942,33,0,580,4,0,80,2,0,13,32,0,136,27,0,293,4,0,45,2,0,10,71,0,2785,6,0,287,0,0,35,0,0,3
2021-02-26T00:00:00.000Z,95,0,2912,35,0,563,5,0,62,1,0,14,28,0,117,29,0,279,5,0,31,1,0,12,67,0,2774,6,0,284,0,0,31,0,0,2
2021-02-27T00:00:00.000Z,59,0,1064,42,0,550,9,0,46,3,0,24,27,0,40,36,0,277,9,0,27,3,0,17,32,0,1009,6,0,273,0,0,19,0,0,7
2021-02-28T00:00:00.000Z,104,0,2210,45,0,559,5,0,66,3,0,14,30,0,98,39,0,282,5,0,35,3,0,12,74,0,2100,6,0,277,0,0,31,0,0,2
2021-03-01T00:00:00.000Z,143,0,3709,44,0,545,5,0,82,2,0,12,51,0,152,37,0,283,3,0,46,2,0,8,92,0,3522,7,0,262,2,0,36,0,0,4
2021-03-02T00:00:00.000Z,150,0,3319,42,0,520,7,0,63,1,0,16,43,0,133,37,0,273,7,0,34,1,0,10,107,0,3148,5,0,247,0,0,29,0,0,6
2021-03-03T00:00:00.000Z,151,0,3481,44,0,525,10,0,70,3,0,12,53,0,122,36,0,285,6,0,44,3,0,10,98,0,3321,8,0,240,4,0,26,0,0,2
2021-03-04T00:00:00.000Z,143,0,2748,51,0,516,9,0,61,0,0,10,56,0,87,41,0,280,7,0,32,0,0,9,87,0,2646,10,0,236,2,0,29,0,0,1
2021-03-05T00:00:00.000Z,117,0,2869,49,0,485,6,0,55,2,0,14,44,0,94,40,0,262,5,0,27,2,0,12,73,0,2766,9,0,223,1,0,28,0,0,2
2021-03-06T00:00:00.000Z,83,0,1372,55,0,505,9,0,71,0,0,13,26,0,63,47,0,271,9,0,37,0,0,11,57,0,1303,8,0,234,0,0,34,0,0,2
2021-03-07T00:00:00.000Z,103,0,1770,54,0,523,4,0,55,3,0,9,28,0,75,46,0,279,3,0,22,3,0,6,75,0,1676,8,0,244,1,0,33,0,0,3
2021-03-08T00:00:00.000Z,140,0,2935,56,0,501,7,0,67,1,0,14,60,0,114,47,0,261,5,0,32,1,0,12,80,0,2790,9,0,240,2,0,35,0,0,2
2021-03-09T00:00:00.000Z,135,0,2432,55,0,486,4,0,36,1,0,11,47,0,91,46,0,251,4,0,16,1,0,9,88,0,2313,9,0,235,0,0,20,0,0,2
2021-03-10T00:00:00.000Z,133,0,2236,54,1,477,5,1,58,0,0,14,31,0,76,46,0,252,5,0,31,0,0,10,102,0,2142,8,1,225,0,1,27,0,0,4
2021-03-11T00:00:00.000Z,123,0,2001,50,1,466,4,0,46,2,0,14,42,0,73,43,0,243,4,0,25,2,0,12,81,0,1914,7,1,223,0,0,21,0,0,2
2021-03-12T00:00:00.000Z,99,0,1910,52,1,444,8,0,45,0,0,9,26,0,88,43,0,228,5,0,22,0,0,8,73,0,1804,9,1,216,3,0,23,0,0,1
2021-03-13T00:00:00.000Z,39,0,619,51,0,439,5,0,37,2,0,9,12,0,28,42,0,227,4,0,16,2,0,5,27,0,584,9,0,212,1,0,21,0,0,4
2021-03-14T00:00:00.000Z,104,0,1107,51,0,454,4,0,60,3,0,18,36,0,54,43,0,227,4,0,28,3,0,15,68,0,1046,8,0,227,0,0,32,0,0,3
2021-03-15T00:00:00.000Z,97,0,1719,52,1,419,7,1,37,3,0,10,29,0,69,43,0,214,5,0,20,2,0,9,68,0,1632,9,1,205,2,1,17,1,0,1
2021-03-16T00:00:00.000Z,69,0,1272,48,0,422,4,0,47,1,0,11,18,0,71,40,0,211,4,0,18,1,0,5,51,0,1190,8,0,211,0,0,29,0,0,6
2021-03-17T00:00:00.000Z,101,0,1221,49,0,403,4,0,34,1,0,7,27,0,60,43,0,199,4,0,14,0,0,6,74,0,1154,6,0,204,0,0,20,1,0,1
2021-03-18T00:00:00.000Z,73,0,1012,49,0,412,8,0,44,0,0,5,23,0,48,42,0,205,6,0,18,0,0,4,50,0,951,7,0,207,2,0,26,0,0,1
2021-03-19T00:00:00.000Z,58,0,888,48,0,399,4,0,31,3,0,8,18,0,38,42,0,203,3,0,15,3,0,7,40,0,845,6,0,196,1,0,16,0,0,1
2021-03-20T00:00:00.000Z,23,0,280,46,0,390,3,0,32,1,0,5,10,0,33,38,0,204,1,0,17,1,0,5,13,0,242,8,0,186,2,0,15,0,0,0
2021-03-21T00:00:00.000Z,52,0,536,52,0,397,9,0,34,3,0,10,24,0,36,45,0,211,8,0,25,3,0,10,28,0,488,7,0,186,1,0,9,0,0,0
2021-03-22T00:00:00.000Z,69,0,808,44,0,372,3,0,24,2,0,11,27,0,46,39,0,196,3,0,13,2,0,9,42,0,742,5,0,176,0,0,11,0,0,2
2021-03-23T00:00:00.000Z,44,0,584,42,0,363,4,0,24,3,0,10,9,0,34,37,0,189,4,0,12,3,0,9,35,0,541,5,0,174,0,0,12,0,0,1
2021-03-24T00:00:00.000Z,49,0,383,36,0,356,2,0,28,2,0,6,6,0,25,31,0,190,2,0,18,2,0,5,43,0,336,5,0,166,0,0,10,0,0,1
2021-03-25T00:00:00.000Z,84,0,717,37,0,357,5,0,32,1,0,5,32,0,34,30,0,194,2,0,19,1,0,2,52,0,669,7,0,163,3,0,13,0,0,3
2021-03-26T00:00:00.000Z,27,0,471,38,0,334,3,0,21,1,0,7,10,0,31,32,0,186,3,0,12,1,0,6,17,0,434,6,0,148,0,0,9,0,0,1
2021-03-27T00:00:00.000Z,14,0,205,36,0,327,0,0,15,0,0,5,6,0,15,30,0,182,0,0,9,0,0,4,8,0,185,6,0,145,0,0,6,0,0,1
2021-03-28T00:00:00.000Z,13,0,107,40,0,328,5,0,17,1,0,11,3,0,9,32,0,179,3,0,9,1,0,10,10,0,95,8,0,149,2,0,8,0,0,1
2021-03-29T00:00:00.000Z,44,0,307,41,0,319,2,0,12,0,0,10,12,0,25,33,0,172,2,0,8,0,0,10,32,0,275,8,0,147,0,0,4,0,0,0
2021-03-30T00:00:00.000Z,33,0,383,40,0,280,3,0,13,0,0,11,10,0,28,33,0,141,3,0,6,0,0,11,23,0,346,7,0,139,0,0,7,0,0,0
2021-03-31T00:00:00.000Z,44,0,424,39,0,274,3,0,17,2,0,9,12,0,28,33,0,142,3,0,13,2,0,8,32,0,390,6,0,132,0,0,4,0,0,1
2021-04-01T00:00:00.000Z,29,0,287,37,0,265,2,0,13,0,0,6,9,0,23,32,0,137,2,0,10,0,0,6,20,0,259,5,0,128,0,0,3,0,0,0
2021-04-02T00:00:00.000Z,32,0,363,33,0,244,1,0,12,1,0,10,11,0,23,28,0,125,1,0,6,1,0,7,21,0,339,5,0,119,0,0,6,0,0,3
2021-04-03T00:00:00.000Z,10,0,100,35,0,246,3,0,11,0,0,6,1,0,10,29,0,122,2,0,3,0,0,3,9,0,86,6,0,124,1,0,8,0,0,3
2021-04-04T00:00:00.000Z,10,0,173,31,0,244,3,0,11,2,0,5,3,0,14,24,0,120,2,0,6,2,0,4,7,0,155,7,0,124,1,0,5,0,0,1
2021-04-05T00:00:00.000Z,35,0,330,29,0,225,5,0,6,2,0,3,13,0,17,24,0,112,5,0,5,2,0,3,22,0,307,5,0,113,0,0,1,0,0,0
2021-04-06T00:00:00.000Z,35,0,253,32,0,219,5,0,8,0,0,7,18,0,23,27,0,107,4,0,3,0,0,7,17,0,223,5,0,112,1,0,5,0,0,0
2021-04-07T00:00:00.000Z,28,0,229,30,0,213,2,0,13,0,0,6,6,0,14,25,0,103,2,0,5,0,0,6,22,0,208,5,0,110,0,0,8,0,0,0
2021-04-08T00:00:00.000Z,21,0,180,27,0,194,3,0,8,3,0,6,8,0,17,22,0,95,3,0,4,3,0,5,13,0,153,5,0,99,0,0,4,0,0,1
2021-04-09T00:00:00.000Z,26,0,190,23,0,189,3,0,14,1,0,7,12,0,21,18,0,94,2,0,8,1,0,3,14,0,164,5,0,95,1,0,6,0,0,4
2021-04-10T00:00:00.000Z,20,0,63,23,0,185,3,0,7,2,0,5,12,0,9,18,0,94,3,0,5,2,0,4,8,0,52,5,0,91,0,0,2,0,0,1
2021-04-11T00:00:00.000Z,20,0,113,24,0,184,2,0,13,0,0,4,3,0,15,18,0,92,1,0,6,0,0,3,17,0,95,6,0,92,1,0,7,0,0,1
2021-04-12T00:00:00.000Z,22,0,197,22,0,181,2,0,8,1,0,2,8,0,14,17,0,92,2,0,6,0,0,1,14,0,167,5,0,89,0,0,2,1,0,1
2021-04-13T00:00:00.000Z,22,0,170,22,0,169,2,0,11,2,0,8,3,0,10,17,0,86,2,0,9,1,0,7,19,0,154,5,0,83,0,0,2,1,0,1
2021-04-14T00:00:00.000Z,22,0,167,22,0,152,1,0,2,0,0,2,5,0,10,17,0,82,1,0,1,0,0,2,17,0,155,5,0,70,0,0,1,0,0,0
2021-04-15T00:00:00.000Z,19,0,74,20,0,143,0,0,3,1,0,2,15,0,10,16,0,75,0,0,2,1,0,1,4,0,62,4,0,68,0,0,1,0,0,1
2021-04-16T00:00:00.000Z,17,0,88,20,0,140,1,0,5,1,0,2,6,0,5,16,0,72,1,0,2,1,0,1,11,0,80,4,0,68,0,0,3,0,0,1
2021-04-17T00:00:00.000Z,18,0,70,20,0,136,2,0,4,2,0,5,11,0,8,16,0,68,2,0,1,2,0,4,7,0,53,4,0,68,0,0,3,0,0,1
2021-04-18T00:00:00.000Z,32,0,175,20,0,141,3,0,10,1,0,3,11,0,11,16,0,73,2,0,6,0,0,2,21,0,153,4,0,68,1,0,4,1,0,1
2021-04-19T00:00:00.000Z,31,0,114,17,0,132,2,0,7,2,0,1,12,0,5,14,0,69,2,0,5,2,0,1,19,0,102,3,0,63,0,0,2,0,0,0
2021-04-20T00:00:00.000Z,22,0,148,18,0,119,2,0,3,0,0,4,7,0,8,15,0,60,2,0,2,0,0,3,15,0,136,3,0,59,0,0,1,0,0,1
2021-04-21T00:00:00.000Z,28,0,87,19,0,115,2,0,4,0,0,1,6,0,6,16,0,58,2,0,3,0,0,1,22,0,75,3,0,57,0,0,1,0,0,0
2021-04-22T00:00:00.000Z,21,0,134,16,0,109,1,0,3,0,0,2,8,0,9,13,0,54,1,0,2,0,0,1,13,0,119,3,0,55,0,0,1,0,0,1
2021-04-23T00:00:00.000Z,13,0,94,18,0,108,3,0,5,1,0,3,3,0,4,15,0,51,3,0,2,1,0,3,10,0,85,3,0,57,0,0,3,0,0,0
2021-04-24T00:00:00.000Z,6,0,30,14,0,104,0,0,1,2,0,2,1,0,5,11,0,51,0,0,1,2,0,0,5,0,22,3,0,53,0,0,0,0,0,2
2021-04-25T00:00:00.000Z,7,0,75,16,0,105,2,0,3,0,0,1,1,0,2,13,0,52,2,0,2,0,0,1,6,0,67,3,0,53,0,0,1,0,0,0
2021-04-26T00:00:00.000Z,12,0,89,13,0,108,0,0,10,1,0,1,4,0,3,10,0,53,0,0,5,1,0,1,8,0,78,3,0,55,0,0,5,0,0,0
2021-04-27T00:00:00.000Z,20,0,97,14,0,102,1,0,2,0,0,4,8,0,3,11,0,49,1,0,1,0,0,2,12,0,86,3,0,53,0,0,1,0,0,2
2021-04-28T00:00:00.000Z,15,0,95,14,0,95,1,0,1,0,0,0,1,0,4,10,0,42,0,0,1,0,0,0,14,0,82,4,0,53,1,0,0,0,0,0
2021-04-29T00:00:00.000Z,10,0,89,10,0,85,1,0,3,1,0,0,2,0,6,8,0,37,1,0,2,0,0,0,8,0,79,2,0,48,0,0,1,1,0,0
2021-04-30T00:00:00.000Z,17,0,60,10,0,79,1,0,2,0,0,1,4,0,3,8,0,33,1,0,1,0,0,1,13,0,55,2,0,46,0,0,1,0,0,0
2021-05-01T00:00:00.000Z,5,0,10,9,0,82,0,0,5,0,0,1,0,0,3,7,0,34,0,0,3,0,0,1,5,0,6,2,0,48,0,0,2,0,0,0
2021-05-02T00:00:00.000Z,4,0,55,8,0,79,0,0,4,0,0,1,0,0,5,6,0,35,0,0,4,0,0,1,4,0,42,2,0,44,0,0,0,0,0,0
2021-05-03T00:00:00.000Z,19,0,71,7,0,76,1,0,5,1,0,0,4,0,2,5,0,34,0,0,2,1,0,0,15,0,68,2,0,42,1,0,3,0,0,0
2021-05-04T00:00:00.000Z,8,0,56,5,0,72,1,0,2,0,0,2,1,0,2,3,0,32,1,0,1,0,0,2,7,0,48,2,0,40,0,0,1,0,0,0
2021-05-05T00:00:00.000Z,4,0,68,5,0,71,0,0,3,0,0,2,1,0,5,3,0,32,0,0,2,0,0,1,3,0,61,2,0,39,0,0,1,0,0,1
2021-05-06T00:00:00.000Z,16,0,39,3,0,66,0,0,2,0,0,2,5,0,3,2,0,29,0,0,2,0,0,1,11,0,35,1,0,37,0,0,0,0,0,1
2021-05-07T00:00:00.000Z,2,0,30,3,0,64,0,0,2,0,0,2,0,0,4,2,0,27,0,0,1,0,0,1,2,0,24,1,0,37,0,0,1,0,0,1
2021-05-08T00:00:00.000Z,5,0,10,4,0,62,2,0,1,0,0,1,0,0,0,3,0,27,2,0,1,0,0,0,5,0,10,1,0,35,0,0,0,0,0,1
2021-05-09T00:00:00.000Z,5,0,27,5,0,59,1,0,0,0,0,0,0,0,0,3,0,25,0,0,0,0,0,0,5,0,26,2,0,34,1,0,0,0,0,0
2021-05-10T00:00:00.000Z,16,0,58,4,0,56,0,0,1,0,0,2,2,0,3,3,0,25,0,0,1,0,0,1,14,0,51,1,0,31,0,0,0,0,0,1
2021-05-11T00:00:00.000Z,9,0,31,3,0,56,0,0,2,1,0,0,3,0,0,2,0,25,0,0,1,1,0,0,6,0,28,1,0,31,0,0,1,0,0,0
2021-05-12T00:00:00.000Z,5,0,22,3,0,53,0,0,0,0,0,0,3,0,1,2,0,24,0,0,0,0,0,0,2,0,20,1,0,29,0,0,0,0,0,0
2021-05-13T00:00:00.000Z,4,0,30,0,0,51,0,0,1,0,0,2,1,0,2,0,0,24,0,0,1,0,0,0,3,0,28,0,0,27,0,0,0,0,0,2
2021-05-14T00:00:00.000Z,1,0,25,0,0,52,0,0,2,0,0,0,0,0,3,0,0,26,0,0,2,0,0,0,1,0,22,0,0,26,0,0,0,0,0,0
2021-05-15T00:00:00.000Z,3,0,17,0,0,49,0,0,0,1,0,0,2,0,2,0,0,23,0,0,0,1,0,0,1,0,15,0,0,26,0,0,0,0,0,0
2021-05-16T00:00:00.000Z,14,0,24,1,0,51,1,0,3,0,0,1,8,0,1,1,0,24,1,0,2,0,0,1,6,0,22,0,0,27,0,0,1,0,0,0
2021-05-17T00:00:00.000Z,5,0,10,0,0,48,0,0,0,1,0,1,2,0,1,0,0,22,0,0,0,1,0,1,3,0,7,0,0,26,0,0,0,0,0,0
2021-05-18T00:00:00.000Z,6,0,22,1,0,45,1,0,1,0,0,0,1,0,2,1,0,21,1,0,1,0,0,0,5,0,17,0,0,24,0,0,0,0,0,0
2021-05-19T00:00:00.000Z,17,0,38,1,0,44,0,0,2,0,0,1,12,0,3,1,0,21,0,0,2,0,0,0,5,0,17,0,0,23,0,0,0,0,0,1
2021-05-20T00:00:00.000Z,6,0,29,3,0,46,2,0,3,0,0,0,0,0,1,3,0,22,2,0,1,0,0,0,6,0,20,0,0,24,0,0,2,0,0,0
2021-05-21T00:00:00.000Z,7,0,15,2,0,43,0,0,0,1,0,1,1,0,2,2,0,22,0,0,0,1,0,0,6,0,9,0,0,21,0,0,0,0,0,1
2021-05-22T00:00:00.000Z,1,0,11,2,0,43,0,0,1,0,0,0,0,0,2,2,0,22,0,0,0,0,0,0,1,0,7,0,0,21,0,0,1,0,0,0
2021-05-23T00:00:00.000Z,6,0,24,3,0,42,1,0,0,0,0,1,2,0,2,3,0,22,1,0,0,0,0,0,4,0,22,0,0,20,0,0,0,0,0,1
2021-05-24T00:00:00.000Z,8,0,22,2,0,41,0,0,1,0,0,1,2,0,4,2,0,22,0,0,0,0,0,0,6,0,16,0,0,19,0,0,1,0,0,1
2021-05-25T00:00:00.000Z,7,0,16,1,0,40,0,0,0,1,0,0,1,0,0,1,0,22,0,0,0,1,0,0,6,0,12,0,0,18,0,0,0,0,0,0
2021-05-26T00:00:00.000Z,3,0,16,1,0,37,0,0,0,0,0,0,1,0,0,1,0,22,0,0,0,0,0,0,2,0,16,0,0,15,0,0,0,0,0,0
2021-05-27T00:00:00.000Z,2,0,15,1,0,36,0,0,2,0,0,2,0,0,1,1,0,22,0,0,2,0,0,1,2,0,14,0,0,14,0,0,0,0,0,1
2021-05-28T00:00:00.000Z,7,0,11,1,0,35,0,0,1,0,0,1,3,0,1,1,0,20,0,0,0,0,0,1,4,0,10,0,0,15,0,0,1,0,0,0
2021-05-29T00:00:00.000Z,3,0,10,1,0,35,0,0,0,0,0,0,2,0,2,1,0,20,0,0,0,0,0,0,1,0,8,0,0,15,0,0,0,0,0,0
2021-05-30T00:00:00.000Z,1,0,3,1,0,35,0,0,1,0,0,0,0,0,1,1,0,19,0,0,0,0,0,0,1,0,1,0,0,16,0,0,1,0,0,0
2021-05-31T00:00:00.000Z,3,0,11,2,0,34,1,0,0,0,0,0,2,0,0,2,0,19,1,0,0,0,0,0,1,0,10,0,0,15,0,0,0,0,0,0
2021-06-01T00:00:00.000Z,6,0,29,2,0,34,0,0,3,0,0,2,1,0,1,2,0,19,0,0,1,0,0,0,5,0,24,0,0,15,0,0,2,0,0,2
2021-06-02T00:00:00.000Z,3,0,10,3,0,29,1,0,0,0,0,0,3,0,1,3,0,18,1,0,0,0,0,0,0,0,9,0,0,11,0,0,0,0,0,0
2021-06-03T00:00:00.000Z,4,0,7,3,0,29,0,0,1,0,0,0,0,0,1,3,0,17,0,0,0,0,0,0,4,0,5,0,0,12,0,0,1,0,0,0
2021-06-04T00:00:00.000Z,9,0,22,3,0,28,0,0,1,0,0,0,3,0,1,3,0,17,0,0,1,0,0,0,6,0,21,0,0,11,0,0,0,0,0,0
2021-06-05T00:00:00.000Z,3,0,3,2,0,28,0,0,1,0,0,1,2,0,0,2,0,17,0,0,0,0,0,0,1,0,2,0,0,11,0,0,1,0,0,1
2021-06-06T00:00:00.000Z,1,0,4,2,0,30,1,0,2,0,0,0,0,0,1,2,0,19,1,0,2,0,0,0,1,0,2,0,0,11,0,0,0,0,0,0
2021-06-07T00:00:00.000Z,5,0,2,1,0,27,0,0,0,0,0,1,2,0,0,1,0,18,0,0,0,0,0,0,3,0,2,0,0,9,0,0,0,0,0,1
2021-06-08T00:00:00.000Z,10,0,20,2,0,26,1,0,0,0,0,0,3,0,1,2,0,17,1,0,0,0,0,0,7,0,17,0,0,9,0,0,0,0,0,0
2021-06-09T00:00:00.000Z,4,0,5,2,0,26,0,0,0,0,0,1,2,0,1,2,0,17,0,0,0,0,0,1,2,0,3,0,0,9,0,0,0,0,0,0
2021-06-10T00:00:00.000Z,8,0,10,2,0,26,0,0,1,0,0,0,3,0,0,2,0,16,0,0,0,0,0,0,5,0,8,0,0,10,0,0,1,0,0,0
2021-06-11T00:00:00.000Z,8,0,10,2,0,26,0,0,0,0,0,0,1,0,0,2,0,16,0,0,0,0,0,0,7,0,8,0,0,10,0,0,0,0,0,0
2021-06-12T00:00:00.000Z,2,0,3,2,0,24,0,0,0,0,0,0,0,0,1,2,0,16,0,0,0,0,0,0,2,0,1,0,0,8,0,0,0,0,0,0
2021-06-13T00:00:00.000Z,1,0,2,2,0,24,0,0,0,0,0,0,0,0,0,2,0,16,0,0,0,0,0,0,1,0,2,0,0,8,0,0,0,0,0,0
2021-06-14T00:00:00.000Z,10,0,16,3,0,23,1,0,0,0,0,0,2,0,0,3,0,15,1,0,0,0,0,0,8,0,16,0,0,8,0,0,0,0,0,0
